policy_id,policy_start_date,policy_end_date,renewal_count,avg_premium_paid,total_claim_amount,number_of_claims,engagement_touches,last_renewal_months_ago
POL100050,8/23/20,11/24/21,5,833.61,967.44,2,4,44
POL100051,8/30/15,3/26/18,2,443.6,514.67,1,1,42
POL100052,8/3/20,4/14/25,1,389.42,2175,2,2,0
POL100053,9/25/22,4/1/27,1,667.55,3085.28,2,5,19
POL100054,2/25/22,1/8/24,2,595.8,5152.12,3,5,42
POL100055,9/25/18,5/5/20,3,781.05,1228.73,1,5,0
POL100056,11/9/20,1/20/25,2,547.07,2214.15,2,3,34
POL100057,10/22/18,10/4/23,1,781.62,953.28,1,4,39
POL100058,1/18/19,5/11/22,5,602.44,1884.04,3,8,44
POL100059,12/31/21,7/9/25,5,679.37,549.16,1,7,6
POL100060,2/14/17,6/15/21,2,843.59,0,0,1,34
POL100061,2/4/15,8/4/19,1,574.91,1090.51,1,5,33
POL100062,3/3/21,11/15/22,3,756.7,3287.09,2,5,4
POL100063,5/9/20,11/15/21,0,507.96,1496.94,1,2,28
POL100064,5/5/19,3/31/23,2,634.13,1259.25,2,6,47
POL100065,10/18/17,6/16/20,6,383.3,0,0,3,26
POL100066,2/26/22,12/12/23,7,524.35,1054.83,1,4,6
POL100067,2/3/18,3/21/19,3,441.29,2041.17,2,1,0
POL100068,2/9/19,2/13/23,3,783.11,2444.74,2,8,8
POL100069,12/3/16,7/19/18,3,860.82,3939.08,2,2,46
POL100070,9/15/21,7/8/26,1,546.79,5045.79,3,2,0
POL100071,8/9/22,2/28/26,3,484.04,7345.24,4,5,26
POL100072,4/29/19,4/30/20,4,402.91,1051.16,3,3,16
POL100073,6/11/15,4/2/17,4,639.68,1077.14,2,4,31
POL100074,7/21/15,10/30/16,1,509.66,0,0,6,40
POL100075,6/4/20,9/26/24,3,517.69,2989.97,4,3,29
POL100076,9/22/17,6/21/19,0,844.44,3153.65,3,8,14
POL100077,5/6/21,1/10/26,2,555.54,0,0,5,41
POL100078,3/26/17,1/31/21,4,688,1151.41,1,1,27
POL100079,3/31/16,4/17/20,6,607.94,7341.65,4,4,2
POL100080,6/29/18,2/12/20,3,396.72,7591.02,4,1,27
POL100081,10/13/17,5/3/21,2,323.27,577.99,1,4,4
POL100082,6/1/21,2/9/26,4,673.13,6999.81,4,3,1
POL100083,7/30/22,8/26/24,2,855.62,3356.78,3,3,37
POL100084,12/4/15,2/22/18,4,647.25,0,0,4,15
POL100085,5/28/17,2/1/20,2,693.61,4903.19,3,4,43
POL100086,12/12/17,5/8/20,6,464.29,0,0,2,16
POL100087,3/2/17,8/10/20,2,752.23,1800.24,1,4,11
POL100088,3/14/21,1/23/24,0,750.38,4321.4,3,3,25
POL100089,2/2/17,10/29/20,5,495.57,5363.83,3,3,6
POL100090,2/13/21,6/24/25,3,681.81,1990.61,1,6,23
POL100091,1/15/16,8/28/20,2,335.04,5903.04,5,5,15
POL100092,5/7/16,10/6/20,5,708.59,3209.82,7,5,17
POL100093,3/26/18,4/13/20,4,514.14,1166.18,2,3,7
POL100094,8/24/20,1/9/24,4,415.93,0,0,3,26
POL100095,3/6/15,1/3/17,7,660.4,476.04,1,5,25
POL100096,1/12/22,3/4/23,2,334.24,6744.32,4,1,30
POL100097,9/29/18,11/9/19,2,651.36,804.68,1,3,17
POL100098,2/26/18,3/25/19,5,430.16,1959.01,1,3,1
POL100099,7/20/20,12/14/22,4,398.06,2988.81,2,7,40
POL100100,5/19/22,5/2/24,3,608.98,594.83,1,3,22
POL100101,2/4/19,7/11/22,2,574.12,1109.27,1,6,47
POL100102,3/8/18,12/27/20,4,818.52,2187.41,2,3,41
POL100103,3/3/19,7/25/20,4,407.28,0,0,6,21
POL100104,3/25/22,12/27/26,5,806.26,1210.67,1,7,32
POL100105,1/27/16,5/1/18,1,429.35,0,0,5,17
POL100106,8/26/19,6/5/23,2,737.92,2933.42,2,3,14
POL100107,2/23/16,8/10/19,1,765.91,1128.23,1,1,40
POL100108,5/25/21,7/16/23,4,648.22,0,0,3,2
POL100109,1/14/16,2/13/20,1,481.36,1686.09,1,1,47
POL100110,12/2/19,5/14/23,3,371.56,0,0,5,22
POL100111,3/28/21,11/4/25,1,307.23,382.32,1,1,46
POL100112,9/19/20,12/19/23,2,877.84,0,0,9,1
POL100113,12/22/20,4/2/22,5,555.47,7848.79,4,8,41
POL100114,7/20/15,12/25/16,4,434.3,3177.96,3,5,3
POL100115,2/7/20,9/6/23,3,428.53,0,0,3,25
POL100116,2/18/17,6/26/19,3,625.18,2265.37,4,6,18
POL100117,5/17/16,7/20/20,5,540.77,788.66,1,3,9
POL100118,9/20/21,7/18/23,3,312.11,857.46,1,4,21
POL100119,10/18/19,10/28/23,2,729.68,3061.76,3,2,5
POL100120,3/15/17,8/20/21,1,650.25,2828.38,2,2,0
POL100121,11/16/20,9/18/24,2,875.99,764.38,1,3,42
POL100122,6/24/22,5/19/25,1,771.12,0,0,4,15
POL100123,3/10/20,12/4/22,2,200,1869.15,2,5,6
POL100124,8/5/22,4/22/27,1,812.55,7018.28,4,6,23
POL100125,4/20/19,6/2/22,3,781.12,0,0,3,34
POL100126,8/18/17,8/1/22,3,489.54,1940.13,1,1,13
POL100127,4/14/22,8/15/23,6,535.11,1156.16,1,5,3
POL100128,1/25/19,3/8/20,5,661.76,1538.06,2,1,40
POL100129,5/14/22,4/14/24,6,447.87,2514.54,4,3,14
POL100130,10/25/17,5/25/19,1,563.59,2961.38,2,2,43
POL100131,5/17/16,6/6/19,2,750.01,1211.85,1,4,47
POL100132,9/15/22,2/26/25,4,677.66,1326.8,1,2,22
POL100133,2/2/16,7/4/18,2,499.98,0,0,5,18
POL100134,5/20/17,4/14/22,1,753.41,3068.07,2,3,13
POL100135,10/13/22,5/13/27,4,645.43,747.44,2,5,26
POL100136,1/28/16,7/4/20,4,640.31,1664.37,1,2,35
POL100137,7/26/15,8/31/17,1,522.76,0,0,2,37
POL100138,11/4/17,6/12/20,4,599.02,0,0,3,21
POL100139,2/25/20,10/24/23,3,483.89,1213.78,1,3,10
POL100140,1/24/19,9/22/23,1,308.92,0,0,1,3
POL100141,5/13/17,9/22/19,2,558.03,554.16,1,1,31
POL100142,8/22/22,8/29/23,1,581.68,3028.82,3,6,39
POL100143,7/17/16,4/13/20,2,620.59,870.5,1,3,40
POL100144,10/17/17,1/5/19,2,781.82,2687.09,3,5,23
POL100145,4/6/15,1/15/19,3,502.16,1821.08,4,0,33
POL100146,4/7/20,7/1/22,4,544.84,0,0,5,2
POL100147,10/24/19,12/14/20,4,714.93,575.11,1,4,37
POL100148,12/7/21,2/4/24,0,487.12,2803.45,3,2,1
POL100149,3/28/21,1/21/25,3,623.06,0,0,3,22
POL100150,8/28/22,6/23/24,0,538.76,0,0,4,39
POL100151,8/6/19,10/3/21,3,563.46,2015.05,2,6,19
POL100152,6/24/16,12/10/20,1,713.72,829.74,1,1,7
POL100153,11/25/17,8/31/20,4,543.98,0,0,2,34
POL100154,1/16/22,4/14/25,5,718.61,770.43,2,5,42
POL100155,3/29/18,12/28/21,1,307.14,1268.25,2,5,2
POL100156,9/19/19,3/10/22,3,385.56,1974.27,3,4,31
POL100157,12/25/19,10/4/21,3,252.27,1988.04,1,4,30
POL100158,3/10/22,6/20/26,3,425.13,2540.64,2,2,43
POL100159,6/22/22,6/28/25,2,878.53,0,0,1,45
POL100160,2/17/22,9/14/26,3,597.37,762.74,1,4,30
POL100161,5/17/19,10/13/22,3,491.8,0,0,5,0
POL100162,5/17/22,1/25/25,4,717.42,0,0,3,11
POL100163,3/6/17,2/24/19,3,738.6,1655.21,1,3,17
POL100164,11/17/17,8/18/22,1,416.87,1142.78,1,1,23
POL100165,7/2/19,7/27/23,2,974.73,0,0,4,35
POL100166,9/25/18,12/2/22,4,641.45,863.13,1,2,28
POL100167,6/4/20,5/16/22,1,660.35,0,0,3,24
POL100168,9/16/18,8/2/22,4,674.58,737.87,1,9,22
POL100169,7/22/19,5/11/22,2,674.27,0,0,4,2
POL100170,3/10/19,3/17/22,1,506.78,0,0,3,29
POL100171,7/31/20,6/25/25,5,916.88,0,0,2,16
POL100172,2/5/19,4/23/21,6,557.22,4047.83,3,7,44
POL100173,2/15/21,3/12/24,1,743.63,0,0,1,29
POL100174,11/9/18,2/1/20,7,528.76,1009.44,2,3,18
POL100175,11/1/18,12/7/22,4,502.16,1825.68,1,3,4
POL100176,7/30/18,9/12/19,3,885.28,0,0,5,39
POL100177,5/4/22,1/2/26,3,583.74,3572.58,4,3,33
POL100178,4/29/22,1/31/27,0,594.88,0,0,1,8
POL100179,8/30/17,10/11/20,3,642.54,1251.01,1,6,38
POL100180,11/4/19,12/8/21,3,990.27,927.73,2,4,47
POL100181,7/6/18,3/21/21,1,925.31,3316.3,2,5,43
POL100182,12/10/16,10/27/20,0,792.57,1954.36,1,0,25
POL100183,1/19/19,2/5/22,2,1028.04,1216.18,2,3,4
POL100184,12/5/18,7/28/21,4,458.31,0,0,5,23
POL100185,10/10/16,7/10/18,6,698.38,3739.73,3,3,30
POL100186,11/14/15,10/7/19,3,611.37,3782.17,2,1,23
POL100187,6/11/18,3/15/21,3,334.64,1198.69,2,3,20
POL100188,11/14/16,1/23/18,2,669.46,4939.31,3,2,21
POL100189,10/25/16,2/27/21,1,526.38,401.63,1,6,37
POL100190,6/21/20,11/19/24,0,830.03,3602.87,2,4,21
POL100191,6/20/19,5/12/24,2,540.75,0,0,4,20
POL100192,2/4/19,9/27/21,6,532.22,2788.3,3,5,29
POL100193,2/10/18,7/31/22,6,829.96,1247.59,2,3,46
POL100194,1/28/20,5/5/22,3,590.18,3376.21,2,5,9
POL100195,3/1/19,7/6/21,3,774.43,0,0,5,2
POL100196,10/25/21,3/24/26,2,663.65,1825.41,2,8,38
POL100197,7/17/16,2/9/19,5,665.67,2109.04,2,8,28
POL100198,7/15/18,7/30/19,3,563.39,1705.12,1,5,24
POL100199,6/25/19,1/26/22,2,675.33,876.18,1,5,1
POL100200,11/29/16,1/23/21,2,580.28,452.38,1,4,12
POL100201,11/30/20,3/18/22,2,479.43,1849.18,1,3,26
POL100202,1/2/15,11/25/19,3,584.36,0,0,6,28
POL100203,10/3/16,11/8/18,1,793.17,2676.78,3,3,13
POL100204,3/17/21,2/16/26,6,680.4,647.48,1,5,3
POL100205,5/9/19,11/2/20,4,715.27,3651.24,2,1,7
POL100206,5/4/17,9/16/19,6,600.22,669.76,1,8,4
POL100207,10/26/19,4/25/24,2,309.33,4147.03,3,4,43
POL100208,8/29/21,3/9/23,5,416.79,8986.5,5,3,26
POL100209,7/20/19,1/28/21,2,556.65,718.71,2,4,23
POL100210,2/27/18,5/28/21,3,429.74,1708.95,1,4,43
POL100211,12/12/17,1/9/20,6,521.35,998.02,1,3,42
POL100212,9/4/19,9/14/23,6,515.92,1418.56,1,4,33
POL100213,8/9/22,1/5/24,5,520.44,0,0,7,27
POL100214,8/23/19,2/28/22,4,815.58,0,0,3,23
POL100215,9/30/19,11/12/21,3,592.05,1464.6,2,3,4
POL100216,12/10/18,10/15/23,1,740.2,337.28,1,5,12
POL100217,4/13/21,3/20/26,4,624.59,3822.48,2,8,17
POL100218,4/15/17,2/7/20,3,812.36,1639.13,5,4,16
POL100219,7/22/15,8/5/17,4,753.15,6803.88,4,3,29
POL100220,5/3/15,7/8/18,2,511.27,0,0,5,37
POL100221,2/5/16,2/18/17,2,894.24,0,0,2,18
POL100222,2/5/17,2/21/19,4,531.82,3396.47,2,4,21
POL100223,10/21/15,12/14/16,4,630,1300.17,2,6,17
POL100224,5/16/21,2/13/25,1,656.55,3543.41,2,6,25
POL100225,7/17/15,11/24/16,2,673.25,1146.19,1,4,14
POL100226,4/14/20,3/16/24,4,719.43,922.46,1,2,27
POL100227,8/31/22,10/3/26,2,486.48,2852.29,2,4,29
POL100228,12/31/20,2/7/25,3,706.85,880.36,1,7,27
POL100229,8/31/16,11/7/17,5,687.17,3561.56,4,6,19
POL100230,2/21/18,5/4/20,2,600.07,0,0,6,3
POL100231,7/6/15,2/6/20,2,571.54,2480.14,3,6,3
POL100232,11/16/21,6/16/26,2,478.78,3847.88,6,3,36
POL100233,11/30/19,6/12/22,2,672.05,6691.99,4,2,14
POL100234,10/21/16,10/9/20,4,500.93,3338.26,2,3,33
POL100235,9/12/22,10/29/25,2,635.68,2291.79,2,3,10
POL100236,5/9/20,9/21/24,2,584.8,1195.31,1,4,22
POL100237,9/16/21,2/6/26,3,399.88,2966.66,2,9,34
POL100238,10/1/18,10/16/20,2,459.98,2331.53,2,4,42
POL100239,6/9/20,12/25/23,2,660.72,2017.94,2,6,34
POL100240,3/15/19,1/5/22,2,521.35,3982.64,2,3,10
POL100241,5/27/15,10/3/17,5,516.24,1101.98,2,7,1
POL100242,12/21/22,6/12/24,4,485.41,0,0,2,14
POL100243,10/1/19,10/27/22,4,490.5,1805.97,1,5,39
POL100244,1/18/20,12/19/21,4,846.4,0,0,4,27
POL100245,5/3/16,1/30/20,4,432.01,1797.57,1,6,30
POL100246,5/13/20,11/17/23,4,820.94,1743.54,2,8,31
POL100247,7/22/19,6/26/23,0,550.39,762.39,1,1,33
POL100248,2/11/22,4/15/26,1,501.94,1747.16,1,4,21
POL100249,7/13/21,2/19/25,4,657.57,1939.99,2,3,28
POL100250,12/29/22,8/18/26,1,607.96,3012.92,2,5,7
POL100251,10/2/16,4/20/20,4,570.38,1102.35,2,4,21
POL100252,12/8/19,11/5/21,1,632.98,0,0,1,11
POL100253,11/25/21,3/4/25,2,605.58,1233.27,1,4,22
POL100254,5/23/20,8/12/24,2,567.66,1513.28,2,4,37
POL100255,1/7/21,11/15/25,1,740.35,3421.97,3,2,1
POL100256,12/9/18,1/23/22,4,382.95,1484.8,1,6,11
POL100257,6/23/19,3/14/24,7,462.8,960.62,3,2,20
POL100258,9/20/15,9/29/18,3,481.77,2767.39,2,2,11
POL100259,11/23/19,9/9/23,4,441.31,0,0,2,44
POL100260,12/31/20,2/23/23,5,612.89,1348.97,2,1,30
POL100261,7/21/21,5/31/23,3,675.81,1580.07,1,2,8
POL100262,9/15/16,8/14/20,2,305.62,1631.77,2,2,14
POL100263,10/13/17,6/14/20,3,528.89,1541.33,2,4,31
POL100264,5/30/17,6/27/19,2,551.75,0,0,2,42
POL100265,8/11/20,2/26/24,2,557.12,0,0,4,8
POL100266,8/20/18,8/26/21,4,407.24,3758.08,2,4,23
POL100267,4/20/21,4/28/25,1,553,1080.61,2,5,7
POL100268,3/28/16,9/25/20,5,463.33,1947.99,2,5,27
POL100269,3/29/18,5/27/20,2,549.84,827.76,2,4,17
POL100270,8/18/20,1/8/24,3,342.06,6358.15,4,6,42
POL100271,8/10/19,5/1/22,6,550.87,1061.15,1,4,36
POL100272,11/3/22,6/11/26,3,492.14,1501.78,1,2,35
POL100273,3/5/21,11/15/23,3,560.63,847.73,1,5,36
POL100274,2/28/18,1/23/20,7,645.12,5206.02,3,6,31
POL100275,2/8/16,4/5/20,3,593.29,0,0,4,20
POL100276,1/8/21,5/6/25,1,719.01,3808.27,2,4,38
POL100277,10/2/20,10/15/23,0,545.89,0,0,6,28
POL100278,8/24/19,10/21/20,3,692.83,1174.27,1,4,17
POL100279,9/19/16,11/29/18,1,768.75,3205.95,2,3,22
POL100280,8/9/16,6/9/18,2,641.06,2640.52,2,5,32
POL100281,7/7/19,8/31/22,1,596.88,1357.72,4,3,47
POL100282,12/14/18,4/19/23,3,662.15,3905.95,2,1,8
POL100283,12/16/18,11/3/23,1,646.36,807.05,1,2,43
POL100284,4/14/15,7/26/17,2,750.19,2171.32,3,3,42
POL100285,9/11/15,10/1/17,4,719.07,2251.24,2,5,37
POL100286,1/1/22,7/16/24,3,720.87,4886.68,4,3,3
POL100287,2/5/19,12/1/20,4,606.6,0,0,4,15
POL100288,4/9/15,6/23/18,2,651.18,968.57,1,3,2
POL100289,1/9/21,12/4/24,2,648.38,4191.73,4,3,7
POL100290,2/28/20,9/5/24,3,418.89,0,0,4,15
POL100291,4/3/20,10/13/21,1,760.34,970.46,1,5,1
POL100292,5/27/17,6/30/18,2,349.61,1854.73,1,6,44
POL100293,12/4/15,6/21/18,4,706.83,5241.39,3,5,18
POL100294,11/9/22,2/16/27,6,640.05,1073.46,1,4,23
POL100295,8/14/17,10/2/18,4,557.36,300.33,1,5,15
POL100296,9/1/19,5/16/21,1,658.68,3663.18,2,3,39
POL100297,6/10/15,9/21/17,4,662.79,1534.12,3,6,1
POL100298,5/23/19,2/6/22,4,403.83,0,0,1,31
POL100299,10/19/22,12/4/24,1,812.42,559.01,1,2,0
POL100300,2/2/16,6/18/19,5,610.82,1817.06,3,4,17
POL100301,7/24/18,9/12/21,2,947.21,0,0,5,38
POL100302,3/26/17,6/19/21,1,718.47,1285.15,1,3,31
POL100303,3/8/19,8/5/21,4,607.41,1925.36,1,4,8
POL100304,4/3/20,12/27/22,3,496.49,0,0,2,2
POL100305,11/16/18,2/19/21,3,583.37,1125.58,1,4,23
POL100306,3/4/18,6/6/21,6,622.47,3923.26,2,5,10
POL100307,5/3/18,6/23/22,4,819.81,5114.86,3,6,27
POL100308,2/5/16,10/31/19,9,784,3077.29,2,4,15
POL100309,10/1/16,10/2/19,3,667.72,1863.77,3,7,28
POL100310,6/28/22,10/31/25,2,865.38,0,0,4,40
POL100311,4/4/16,4/15/19,3,297.57,1781.72,2,2,11
POL100312,8/12/17,4/15/20,2,669.42,3605.74,3,1,45
POL100313,4/14/16,9/26/17,5,788.35,0,0,2,3
POL100314,11/11/17,7/18/22,4,682.12,4007.75,3,2,25
POL100315,8/29/22,6/24/26,3,400.08,3070.18,2,2,3
POL100316,8/21/19,1/31/22,5,808.42,2849.79,2,2,10
POL100317,9/16/20,2/1/25,3,714.2,2081.15,5,3,1
POL100318,3/27/21,9/10/25,1,651.45,2154.98,2,6,30
POL100319,7/16/16,8/6/19,3,613.25,1428.84,1,2,2
POL100320,10/21/21,2/16/25,7,899.06,1606.38,2,9,24
POL100321,12/5/19,6/21/21,3,666.68,4993.18,6,3,33
POL100322,9/5/20,6/30/22,2,563.71,511.76,1,3,0
POL100323,8/14/15,5/12/18,5,478.29,2023.29,2,5,4
POL100324,3/8/17,12/16/21,2,713.63,0,0,2,38
POL100325,5/20/21,4/14/26,4,747.94,3925.21,5,8,30
POL100326,8/17/17,5/26/22,1,608.48,3610.33,3,6,35
POL100327,2/13/19,6/8/22,3,516.33,7817.52,5,3,2
POL100328,3/28/16,1/2/21,8,799.51,645.89,2,2,37
POL100329,3/26/17,1/22/19,3,466.89,0,0,2,11
POL100330,10/20/16,2/28/21,5,895.42,0,0,4,15
POL100331,6/30/16,2/28/20,6,489.82,1777.5,1,11,7
POL100332,4/30/18,10/2/20,5,408.26,366.21,1,4,10
POL100333,1/17/15,10/7/18,4,427.44,1642.88,3,6,44
POL100334,5/28/18,12/23/22,3,433.54,848.3,1,1,13
POL100335,1/14/21,10/23/25,4,564.51,1774.57,2,5,26
POL100336,11/29/21,6/23/24,0,529.77,5223.75,3,5,17
POL100337,12/5/17,5/14/19,8,753.7,319.04,1,5,7
POL100338,1/9/22,5/22/23,2,732.31,1389.89,1,2,32
POL100339,11/16/20,2/24/23,4,566.47,2092.92,4,5,3
POL100340,11/4/19,2/10/24,0,1065.51,3398.93,2,5,29
POL100341,11/26/17,12/9/20,1,564.49,3247.15,2,5,19
POL100342,5/16/21,8/24/25,7,584.47,2299.73,2,4,29
POL100343,12/19/21,9/30/26,4,408.39,1984.7,3,4,26
POL100344,10/29/15,1/7/19,5,587.92,1378.64,1,4,24
POL100345,6/30/15,6/2/20,1,644.61,0,0,4,5
POL100346,8/29/16,3/30/18,5,422.37,0,0,2,4
POL100347,11/30/16,3/17/21,1,525.2,5461.49,4,2,13
POL100348,9/19/17,11/12/21,2,649.05,3970.18,2,5,13
POL100349,2/13/18,2/13/21,1,521.27,3629.61,2,5,33
POL100350,7/10/15,4/30/19,4,489.88,1308.28,1,6,40
POL100351,4/19/21,10/16/25,3,717.32,2431.03,2,4,24
POL100352,9/7/17,1/31/19,1,407.68,1997.25,1,5,38
POL100353,6/29/20,1/28/24,3,436.81,1230.58,1,2,17
POL100354,3/30/18,12/22/20,2,626.61,1014.2,1,6,19
POL100355,5/8/15,4/27/18,2,726.92,1846.24,1,0,42
POL100356,8/27/20,3/19/23,1,645.83,0,0,5,7
POL100357,12/22/19,5/6/22,3,566.42,465.79,1,3,25
POL100358,10/25/19,9/18/22,2,554.19,1377.95,1,2,20
POL100359,2/26/22,10/17/24,3,751.57,925.89,2,8,26
POL100360,7/23/16,9/9/20,3,728.85,934.35,1,4,31
POL100361,9/8/18,5/11/21,5,607.48,3060.24,3,6,41
POL100362,3/10/20,10/9/24,6,558.36,2461.63,2,4,16
POL100363,6/26/22,12/21/24,3,605.29,5957.46,3,2,0
POL100364,9/17/16,6/30/21,5,490.92,1351.34,2,7,26
POL100365,12/11/22,4/5/26,2,577.47,3755.14,4,5,35
POL100366,8/14/19,1/14/24,2,526.57,0,0,2,10
POL100367,6/4/15,7/27/18,4,584.87,3998.83,3,5,40
POL100368,12/12/21,4/7/23,3,531.95,6148.18,4,13,40
POL100369,11/10/18,11/13/20,2,678.59,2239.06,2,2,34
POL100370,2/23/17,11/2/18,1,722.76,3589.57,5,3,37
POL100371,9/3/15,1/26/19,5,543.04,2711.02,2,4,37
POL100372,2/9/19,11/16/23,3,478.22,1216.57,1,6,41
POL100373,9/2/19,4/29/23,4,706.74,1182.03,2,6,41
POL100374,9/7/22,9/29/24,1,627.71,2968.98,3,1,46
POL100375,6/21/16,4/9/20,3,544.99,0,0,2,35
POL100376,3/5/20,7/19/22,4,806.33,1970.45,1,4,9
POL100377,1/16/20,2/17/22,2,515.24,1743.79,1,3,39
POL100378,7/9/17,5/26/20,2,301.06,1548.43,1,5,0
POL100379,9/21/21,7/12/24,2,493.81,3621.84,2,6,21
POL100380,6/8/16,7/17/18,4,842.76,6201.29,4,5,16
POL100381,11/15/22,7/30/25,5,552.34,7343.13,4,4,11
POL100382,3/10/19,7/14/21,2,522.68,1178.22,3,4,43
POL100383,2/5/15,4/8/18,2,603.99,2150.63,2,3,12
POL100384,11/15/16,2/19/21,4,751.66,9418.36,6,5,24
POL100385,1/20/15,5/25/16,0,587.57,5166.41,4,6,25
POL100386,6/26/21,5/29/25,3,688.7,0,0,2,45
POL100387,1/3/22,1/13/24,0,571.61,878.84,1,6,39
POL100388,2/4/16,9/27/19,2,689.88,840.22,1,3,45
POL100389,5/25/22,3/22/27,2,627.04,1488.58,2,3,38
POL100390,8/29/17,8/24/19,1,540.3,883.33,1,4,42
POL100391,3/21/20,2/26/22,4,638.71,0,0,1,32
POL100392,11/23/21,5/25/23,5,518.62,0,0,4,7
POL100393,3/12/18,1/26/22,1,393.27,1561.46,1,0,12
POL100394,1/20/18,11/6/20,4,597.02,1719.92,1,3,25
POL100395,4/13/17,3/23/22,0,406.59,0,0,4,16
POL100396,12/29/19,7/2/22,6,689.61,1007.46,1,4,23
POL100397,8/6/22,1/7/26,5,594.38,1776.49,2,2,23
POL100398,6/5/20,1/11/25,1,813.49,795.92,2,6,11
POL100399,5/3/17,11/2/21,5,550.46,3763.67,2,4,30
POL100400,2/20/15,6/17/18,1,597,0,0,5,15
POL100401,7/28/16,12/2/17,4,379.56,3119.86,2,5,41
POL100402,2/22/18,2/22/19,2,434.39,1885.57,2,3,15
POL100403,1/6/21,3/16/22,1,348.19,3825.85,2,2,29
POL100404,6/19/21,1/10/23,3,761.62,1013.32,1,5,27
POL100405,3/2/22,3/28/24,3,531.07,3376.47,2,3,2
POL100406,6/10/21,1/30/26,6,799.06,2341.54,3,12,32
POL100407,9/12/19,4/10/21,0,200,808.45,1,5,23
POL100408,11/12/16,4/14/21,3,832.21,2624.77,2,2,29
POL100409,4/17/17,2/21/20,5,589.8,0,0,4,39
POL100410,12/13/17,4/30/21,1,650.98,3539.62,3,5,47
POL100411,10/27/21,8/16/26,3,440.56,1891.72,1,6,27
POL100412,4/14/22,9/18/23,4,679.09,6546.5,4,1,46
POL100413,4/30/21,2/24/23,2,543.91,3305.94,2,3,38
POL100414,5/15/19,7/8/20,3,420.91,2082.26,2,6,1
POL100415,1/5/15,7/24/18,7,418.85,957.12,1,6,12
POL100416,1/31/18,1/2/22,1,416.2,626.27,1,3,36
